,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG_x,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,G-xG,xG_y,Cmp,Cmp,Cmp,Cmp,xA,KP,1/3,PPA,PrgP,Def Pen,Att Pen,Succ%,CrdY,CrdR,Fls,Fld,Off,TklW,Recov,Int,Clr,Err,Team
1,2023-04-15,18:30,Série A,Matchweek 1,Sat,Home,W,2.0,1.0,São Paulo,0.9,1.8,33.0,,Víctor Cuesta,4-2-3-1,Ramon Abatti Abel,Match Report,,12,3,18.3,1.1,0.9,253.0,120.0,99.0,25.0,0.5,9.0,17.0,3.0,31.0,54.0,14.0,62.5,3,0,20,10,2,6,57.0,17,19.0,0.0,Botafogo RJ
3,2023-04-24,20:00,Série A,Matchweek 2,Mon,Away,W,2.0,1.0,Bahia,0.2,0.9,42.0,27822.0,Víctor Cuesta,4-2-3-1,Raphael Claus,Match Report,,5,3,21.9,1.8,0.2,313.0,143.0,130.0,31.0,0.5,5.0,17.0,3.0,27.0,53.0,10.0,62.5,2,0,9,16,5,11,54.0,15,31.0,0.0,Botafogo RJ
4,2023-04-30,16:00,Série A,Matchweek 3,Sun,Away,W,3.0,2.0,Flamengo,1.9,3.1,26.0,53138.0,Fernando Marçal,4-2-3-1,Edina Alves Batista,Match Report,,11,5,16.8,1.1,1.9,171.0,74.0,61.0,25.0,1.1,9.0,12.0,2.0,20.0,78.0,13.0,50.0,4,1,12,13,1,12,42.0,11,33.0,0.0,Botafogo RJ
5,2023-04-15,18:30,Série A,Matchweek 1,Sat,Home,D,1.0,1.0,Internacional,1.5,0.9,48.0,,Guilherme Tinga,4-2-2-2,Edina Alves Batista,Match Report,,24,6,20.5,-0.5,1.5,303.0,115.0,140.0,33.0,0.8,13.0,27.0,9.0,39.0,29.0,30.0,50.0,2,0,18,13,0,11,52.0,12,12.0,0.0,Fortaleza
7,2023-04-23,18:30,Série A,Matchweek 2,Sun,Away,W,3.0,0.0,Coritiba,2.6,0.7,42.0,,Guilherme Tinga,4-4-2,Wilton Sampaio,Match Report,,16,9,14.4,0.4,2.6,246.0,86.0,113.0,43.0,0.8,10.0,25.0,4.0,26.0,46.0,20.0,60.0,2,0,10,9,2,18,48.0,14,12.0,1.0,Fortaleza
8,2023-04-29,16:30,Série A,Matchweek 3,Sat,Home,W,4.0,2.0,Fluminense,5.5,1.4,31.0,,Guilherme Tinga,4-4-2,Raphael Claus,Match Report,,20,17,14.8,-1.5,5.5,184.0,70.0,78.0,30.0,1.5,10.0,15.0,11.0,23.0,41.0,27.0,44.4,0,0,8,14,2,14,40.0,7,16.0,0.0,Fortaleza
1,2023-04-15,16:00,Série A,Matchweek 1,Sat,Home,W,2.0,1.0,Cuiabá,2.7,0.7,52.0,35835.0,Gustavo Gómez,4-2-3-1,Paulo Cesar Zanovelli da Silva,Match Report,,17,5,15.7,-0.7,2.7,412.0,144.0,201.0,65.0,1.4,10.0,36.0,9.0,39.0,62.0,27.0,80.8,4,1,23,12,3,11,60.0,7,10.0,0.0,Palmeiras
3,2023-04-23,16:00,Série A,Matchweek 2,Sun,Away,D,2.0,2.0,Vasco da Gama,0.8,1.7,64.0,,Gustavo Gómez,4-2-3-1,Rafael Rodrigo Klein,Match Report,,13,7,21.9,1.2,0.8,410.0,157.0,199.0,48.0,0.6,8.0,44.0,13.0,44.0,47.0,20.0,72.2,3,0,15,18,0,9,53.0,6,28.0,0.0,Palmeiras
4,2023-04-29,18:30,Série A,Matchweek 3,Sat,Home,W,2.0,1.0,Corinthians,1.3,0.5,54.0,,Gustavo Gómez,4-2-3-1,Wilton Sampaio,Match Report,,21,6,20.2,0.7,1.3,454.0,190.0,205.0,51.0,1.3,15.0,32.0,10.0,62.0,51.0,24.0,46.2,3,0,20,15,0,14,53.0,10,21.0,0.0,Palmeiras
1,2023-04-15,18:30,Série A,Matchweek 1,Sat,Away,D,1.0,1.0,Fortaleza,0.9,1.5,52.0,,Alan Patrick,4-2-3-1,Edina Alves Batista,Match Report,,11,6,19.0,0.1,0.9,398.0,208.0,172.0,12.0,0.9,9.0,17.0,3.0,32.0,85.0,14.0,71.4,1,0,13,16,2,15,57.0,15,25.0,0.0,Internacional
